Nombre,ID,lon,lat,elev,poder,temp
Palma Sola,Ar_58_pub,-64.3361,-24.024,790,28,1
Río Xibi-Xibi,Ar_59_pub,-65.3522,-24.2125,1369,38,0
Bajada de Pinto,Ar_60_pub,-64.8454,-24.4358,524,38,0
Pie de Médano,Ar_210_pub,-66.2177,-26.99547,2180,21,0
Puerta de San José,Ar_214_pub,-67.00479,-27.5541,1404,28,0
Potrero del Clavillo,Ar_409_pub,-65.974,-27.4,1383,40,1
KM-19,Ar_410_pub,-65.636,-27.1009,610,28,1
Potrero de las tablas,Ar_411_pub,-65.426,-26.85777,950,35,1
Casa de Piedra,Ar_452_pub,-65.9123,-27.282,1200,32,0
Piedra Grande,Ar_453_pub,-65.806,-27.313,500,28,0
Yampa II,Ar_455_pub,-65.841,-27.178,1500,33,0
El Nogalito,Ar_456_pub,-65.47166667,-26.78547222,1100,30,0
Las Mesadas,Ar_457_pub,-65.931,-27.214,1300,46,0
Aguas Blancas,Ar_604_pub,-64.36460556,-22.7249,407.44,32,1
Balapuca,Ar_605_pub,-64.463,-22.492,581.38,32,1
Alarache,Ar_607_pub,-64.586,-22.249,937.05,31,1
Cuatro Cedros,Ar_629_pub,-64.515825,-22.82940278,484.01,29,1
San Telmo,Ar_637_pub,-64.97177778,-22.57336111,429.91,7,1
Astillero,Ar_638_pub,-64.119,-22.374,500,46,1
San José,Ar_655_pub,-64.70363889,-22.8655,877,25,1
Iruya,Ar_672_pub,-65.21586111,-22.79561111,2741,44,0
Las Higueras,Ar_673_pub,-65.09733333,-22.75427778,1972,36,0
San Antonio,Ar_674_pub,-64.97116667,-22.82555556,1400,31,0
San Isidro,Ar_675_pub,-65.24175,-22.75652778,2956,33,0
Nazareno,Ar_676_pub,-65.10147222,-22.51377778,3101,0,0
Paltorco,Ar_677_pub,-65.088,-22.405,3720,0,1
Santa Victoria Oeste,Ar_678_pub,-64.971,-22.252,450,1,0
Tuc Tuca,Ar_679_pub,-65.26747222,-22.40444444,3950,0,1
Güemes,Ar_687_pub,-65.04363889,-24.68752778,734,0,0
Poscaya,Ar_688_pub,-65.0805,-22.454,3238,1,0
Trigo Huaico,Ar_689_pub,-65.037,-22.374,3300,1,0
Colanzulí,Ar_690_pub,-65.22422222,-22.88794444,3575,1,1
El Molino,Ar_691_pub,-65.15147222,-22.59772222,2600,1,0
El Pabellón,Ar_692_pub,-65.33908333,-22.55347222,4265,0,0
Pozo Sarmiento,Ar_693_pub,-64.19683333,-23.14055556,326.06,0,1
SAN LUIS,Ar_697_pub,-66,-26.08333333,1800,1,0
Tarija,Bo_1_pub,-64.7,-21.55,1854,0,1
Yacuiba,Bo_2_pub,-63.65,-21.95,656,0,1
Tcnl Rafael Pabon,Bo_3_pub,-63.406,-21.255,398,0,1
Narvaez,Bo_4_pub,-64.278939,-21.409802,1712,0,0
Salinas,Bo_5_pub,-64.2525,-21.8268,1031,0,0
Cañas,Bo_6_pub,-64.9075,-21.8956,2178,0,0
